Industry,1. Current Ratio,Wt,Strong,Steady,Shaky,2. Quick Ratio,Wt,Strong,Steady,Shaky,3. Debt-to-Equity,Wt,Strong,Steady,Shaky,4. Asset Turnover,Wt,Strong,Steady,Shaky,5. ROE,Wt,Strong,Steady,Shaky,6. ROA,Wt,Strong,Steady,Shaky,7. Gross Margin,Wt,Strong,Steady,Shaky,8. Net Margin,Wt,Strong,Steady,Shaky,9. Interest Coverage,Wt,Strong,Steady,Shaky,10. Receivables Days,Wt,Strong,Steady,Shaky,11. Operating CF Margin,Wt,Strong,Steady,Shaky,12. CF Coverage,Wt,Strong,Steady,Shaky,13. CF to Debt,Wt,Strong,Steady,Shaky,14. Capex Coverage,Wt,Strong,Steady,Shaky,15. Payable Days,Wt,Strong,Steady,Shaky,16. Working Capital Days,Wt,Strong,Steady,Shaky,Total
Import/Export Trading,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,9%,9%,6%,2%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>3.0x/2.0-3.0x/<2.0x,7%,7%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>15%/10-15%/<10%,11%,11%,7%,3%,>8%/4-8%/<4%,5%,5%,3%,1%,>6x/3-6x/<3x,4%,4%,3%,1%,<20/20-40/>40 days,8%,8%,5%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,5%,5%,3%,1%,>0.4x/0.2-0.4x/<0.2x,3%,3%,2%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>40/25-40/<25 days,7%,7%,5%,2%,<25/25-45/>45 days,7%,7%,5%,2%,100%
Commodity Trading,>1.8/1.2-1.8/<1.2,5%,5%,3%,1%,>1.2/0.8-1.2/<0.8,8%,8%,5%,2%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>3.5x/2.5-3.5x/<2.5x,9%,9%,6%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>8%/5-8%/<5%,11%,11%,7%,3%,>8%/4-8%/<4%,5%,5%,3%,1%,>6x/3-6x/<3x,4%,4%,3%,1%,<15/15-30/>30 days,9%,9%,6%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>30/20-30/<20 days,6%,6%,4%,2%,<20/20-35/>35 days,7%,7%,5%,2%,100%
Wholesale Distribution,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,7%,7%,5%,2%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>2.5x/1.8-2.5x/<1.8x,7%,7%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>12%/8-12%/<8%,11%,11%,7%,3%,>8%/4-8%/<4%,6%,6%,4%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<25/25-45/>45 days,7%,7%,5%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,5%,5%,3%,1%,>0.4x/0.2-0.4x/<0.2x,3%,3%,2%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>35/25-35/<25 days,6%,6%,4%,2%,<30/30-50/>50 days,7%,7%,5%,2%,100%
Retail Trading,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,6%,6%,4%,2%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>2.0x/1.5-2.0x/<1.5x,7%,7%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>35%/25-35%/<25%,11%,11%,7%,3%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<15/15-30/>30 days,7%,7%,5%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,5%,5%,3%,1%,>0.4x/0.2-0.4x/<0.2x,3%,3%,2%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>30/20-30/<20 days,6%,6%,4%,2%,<20/20-40/>40 days,7%,7%,5%,2%,100%
E-commerce Trading,>1.8/1.2-1.8/<1.2,5%,5%,3%,1%,>1.2/0.8-1.2/<0.8,8%,8%,5%,2%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>2.5x/1.8-2.5x/<1.8x,9%,9%,6%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>30%/20-30%/<20%,11%,11%,7%,3%,>8%/4-8%/<4%,6%,6%,4%,2%,>6x/3-6x/<3x,3%,3%,2%,1%,<10/10-20/>20 days,8%,8%,5%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,5%,5%,3%,1%,>0.4x/0.2-0.4x/<0.2x,3%,3%,2%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>25/15-25/<15 days,5%,5%,3%,1%,<15/15-30/>30 days,7%,7%,5%,2%,100%
Pharmaceutical Distribution,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,6%,6%,4%,2%,<0.4/0.4-0.8/>0.8,6%,6%,4%,2%,>2.0x/1.5-2.0x/<1.5x,7%,7%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>15%/10-15%/<10%,11%,11%,7%,3%,>8%/4-8%/<4%,6%,6%,4%,2%,>6x/3-6x/<3x,6%,6%,4%,2%,<30/30-50/>50 days,7%,7%,5%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,5%,5%,3%,1%,>0.4x/0.2-0.4x/<0.2x,3%,3%,2%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>40/30-40/<30 days,6%,6%,4%,2%,<35/35-55/>55 days,7%,7%,5%,2%,100%
FMCG Distribution,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,6%,6%,4%,2%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>2.8x/2.0-2.8x/<2.0x,9%,9%,6%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>10%/7-10%/<7%,11%,11%,7%,3%,>8%/4-8%/<4%,5%,5%,3%,1%,>6x/3-6x/<3x,5%,5%,3%,1%,<20/20-35/>35 days,7%,7%,5%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,5%,5%,3%,1%,>0.4x/0.2-0.4x/<0.2x,3%,3%,2%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>30/20-30/<20 days,6%,6%,4%,2%,<25/25-40/>40 days,7%,7%,5%,2%,100%
Industrial Equipment Trading,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,6%,6%,4%,2%,<0.4/0.4-0.8/>0.8,6%,6%,4%,2%,>1.5x/1.0-1.5x/<1.0x,7%,7%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>25%/18-25%/<18%,11%,11%,7%,3%,>8%/4-8%/<4%,6%,6%,4%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<45/45-75/>75 days,8%,8%,5%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,5%,5%,3%,1%,>0.4x/0.2-0.4x/<0.2x,3%,3%,2%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>50/35-50/<35 days,5%,5%,3%,1%,<50/50-80/>80 days,7%,7%,5%,2%,100%
Others - Trading,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,7%,7%,5%,2%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>2.3x/1.6-2.3x/<1.6x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,6%,6%,4%,2%,>15%/10-15%/<10%,11%,11%,7%,3%,>8%/4-8%/<4%,6%,6%,4%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<30/30-50/>50 days,7%,7%,5%,2%,>15%/8-15%/<8%,8%,8%,5%,2%,>1.5x/1.0-1.5x/<1.0x,5%,5%,3%,1%,>0.4x/0.2-0.4x/<0.2x,3%,3%,2%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>35/25-35/<25 days,6%,6%,4%,2%,<35/35-55/>55 days,7%,7%,5%,2%,100%
IT Services & Consulting,>1.8/1.2-1.8/<1.2,5%,5%,3%,1%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>2.0x/1.5-2.0x/<1.5x,8%,8%,5%,2%,>20%/12-20%/<12%,9%,9%,6%,2%,>10%/5-10%/<5%,8%,8%,5%,2%,>40%/30-40%/<30%,16%,16%,10%,4%,>8%/4-8%/<4%,8%,8%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<35/35-60/>60 days,9%,9%,6%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,1%,1%,1%,0%,>30/20-30/<20 days,3%,3%,2%,1%,<35/35-55/>55 days,6%,6%,4%,2%,100%
Professional Services,>1.8/1.2-1.8/<1.2,5%,5%,3%,1%,>1.2/0.8-1.2/<0.8,6%,6%,4%,2%,<0.4/0.4-0.8/>0.8,4%,4%,3%,1%,>3.0x/2.0-3.0x/<2.0x,8%,8%,5%,2%,>20%/12-20%/<12%,10%,10%,7%,3%,>10%/5-10%/<5%,9%,9%,6%,2%,>50%/40-50%/<40%,18%,18%,12%,5%,>8%/4-8%/<4%,9%,9%,6%,2%,>6x/3-6x/<3x,3%,3%,2%,1%,<40/40-70/>70 days,8%,8%,5%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,3%,3%,2%,1%,>0.4x/0.2-0.4x/<0.2x,1%,1%,1%,0%,>2.0x/1.2-2.0x/<1.2x,1%,1%,1%,0%,>25/15-25/<15 days,2%,2%,1%,1%,<40/40-65/>65 days,6%,6%,4%,2%,100%
Marketing & Advertising,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,4%,4%,3%,1%,>2.5x/1.8-2.5x/<1.8x,8%,8%,5%,2%,>20%/12-20%/<12%,9%,9%,6%,2%,>10%/5-10%/<5%,8%,8%,5%,2%,>45%/35-45%/<35%,16%,16%,10%,4%,>8%/4-8%/<4%,9%,9%,6%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<35/35-60/>60 days,8%,8%,5%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,1%,1%,1%,0%,>30/20-30/<20 days,3%,3%,2%,1%,<35/35-55/>55 days,6%,6%,4%,2%,100%
HR & Staffing Services,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,6%,6%,4%,2%,<0.4/0.4-0.8/>0.8,4%,4%,3%,1%,>4.0x/3.0-4.0x/<3.0x,9%,9%,6%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,8%,8%,5%,2%,>20%/15-20%/<15%,14%,14%,9%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<25/25-40/>40 days,7%,7%,5%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>20/15-20/<15 days,4%,4%,3%,1%,<25/25-40/>40 days,7%,7%,5%,2%,100%
Security Services,>1.8/1.2-1.8/<1.2,7%,7%,5%,2%,>1.2/0.8-1.2/<0.8,6%,6%,4%,2%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>2.0x/1.5-2.0x/<1.5x,8%,8%,5%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,8%,8%,5%,2%,>25%/18-25%/<18%,13%,13%,8%,3%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,5%,5%,3%,1%,<30/30-50/>50 days,8%,8%,5%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>25/20-25/<20 days,3%,3%,2%,1%,<30/30-50/>50 days,7%,7%,5%,2%,100%
Cleaning & Maintenance,>1.8/1.2-1.8/<1.2,8%,8%,5%,2%,>1.2/0.8-1.2/<0.8,6%,6%,4%,2%,<0.4/0.4-0.8/>0.8,4%,4%,3%,1%,>3.0x/2.0-3.0x/<2.0x,9%,9%,6%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>30%/22-30%/<22%,15%,15%,10%,4%,>8%/4-8%/<4%,7%,7%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<25/25-40/>40 days,7%,7%,5%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>20/15-20/<15 days,3%,3%,2%,1%,<25/25-40/>40 days,7%,7%,5%,2%,100%
Event Management,>1.8/1.2-1.8/<1.2,8%,8%,5%,2%,>1.2/0.8-1.2/<0.8,7%,7%,5%,2%,<0.4/0.4-0.8/>0.8,4%,4%,3%,1%,>2.5x/1.8-2.5x/<1.8x,9%,9%,6%,2%,>20%/12-20%/<12%,8%,8%,5%,2%,>10%/5-10%/<5%,7%,7%,5%,2%,>35%/25-35%/<25%,14%,14%,9%,4%,>8%/4-8%/<4%,8%,8%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<20/20-35/>35 days,7%,7%,5%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,2%,2%,1%,0%,>15/10-15/<10 days,3%,3%,2%,1%,<20/20-35/>35 days,6%,6%,4%,2%,100%
BPO Services,>1.8/1.2-1.8/<1.2,5%,5%,3%,1%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,5%,5%,3%,1%,>1.8x/1.3-1.8x/<1.3x,8%,8%,5%,2%,>20%/12-20%/<12%,9%,9%,6%,2%,>10%/5-10%/<5%,9%,9%,6%,2%,>35%/25-35%/<25%,16%,16%,10%,4%,>8%/4-8%/<4%,8%,8%,5%,2%,>6x/3-6x/<3x,4%,4%,3%,1%,<30/30-50/>50 days,8%,8%,5%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,4%,4%,3%,1%,>0.4x/0.2-0.4x/<0.2x,2%,2%,1%,1%,>2.0x/1.2-2.0x/<1.2x,1%,1%,1%,0%,>25/20-25/<20 days,3%,3%,2%,1%,<30/30-50/>50 days,6%,6%,4%,2%,100%
Design & Creative Services,>1.8/1.2-1.8/<1.2,6%,6%,4%,2%,>1.2/0.8-1.2/<0.8,5%,5%,3%,1%,<0.4/0.4-0.8/>0.8,4%,4%,3%,1%,>2.0x/1.5-2.0x/<1.5x,8%,8%,5%,2%,>20%/12-20%/<12%,9%,9%,6%,2%,>10%/5-10%/<5%,9%,9%,6%,2%,>55%/45-55%/<45%,19%,19%,12%,5%,>8%/4-8%/<4%,10%,10%,7%,3%,>6x/3-6x/<3x,3%,3%,2%,1%,<35/35-60/>60 days,8%,8%,5%,2%,>15%/8-15%/<8%,7%,7%,5%,2%,>1.5x/1.0-1.5x/<1.0x,3%,3%,2%,1%,>0.4x/0.2-0.4x/<0.2x,1%,1%,1%,0%,>2.0x/1.2-2.0x/<1.2x,1%,1%,1%,0%,>20/15-20/<15 days,2%,2%,1%,1%,<35/35-55/>55 days,5%,5%,3%,1%,100%
